engine,method,n_topics,npmi,umass,diversity
afrispeech_whisper,lda,7,-0.26913970857337965,-12.416578878492112,0.5142857142857142
afrispeech_whisper,bertopic,6,0.0035983793833724484,-10.013892943740867,0.9833333333333333
afrispeech_whisper,nmf,7,-0.2954050956582684,-12.597072823087547,0.5714285714285714
whisper_large_v3,lda,7,-0.1996021915698279,-13.068017474085758,0.7142857142857143
whisper_large_v3,bertopic,2,-0.12334794661873805,-11.683291353495651,1.0
whisper_large_v3,nmf,7,-0.028972856653542236,-10.00450326419757,0.8714285714285714
